id,tipo_expediente_id,codigo_documento,nombre_documento,obligatorio,orden,activo,subtipo_expediente_id
1,3,AAPP,AAPP,1,0,1,1
2,3,ACTA_DE_NACIMIENTO_DEL_PAIS_DE_ORIGEN,ACTA DE NACIMIENTO DEL PAIS DE ORIGEN,1,0,1,1
3,3,PASAPORTE,PASAPORTE,1,0,1,1
4,3,NIE,NIE,1,0,1,1
5,3,CCSE,CCSE,1,0,1,1
6,3,DELE,DELE,0,0,1,1
7,3,TASA_790016,TASA 790016,1,0,1,1
8,3,EMPADRONAMIENTO,EMPADRONAMIENTO,1,0,1,1
9,3,ACTA_DE_NACIMIENTO_DE_LOS_HIJOS_MENORES_DE_EDAD,ACTA DE NACIMIENTO DE LOS HIJOS MENORES DE EDAD,0,0,1,1
10,3,PODER_O_MANDATO_ACREDITATIVO_DE_REPRESENTACION,PODER O MANDATO ACREDITATIVO DE REPRESENTACION,1,0,1,1
11,3,DNI_DE_REPRESENTANTE,DNI DE REPRESENTANTE,0,0,1,1
